id;nom;prix;image;image_content_type;description
1;conglomeration Marketing solutions;70855;../fake-data/blob/hipster.png;image/png;Union
2;Grocery;76924;../fake-data/blob/hipster.png;image/png;connecting
3;Accountability XSS Iowa;58092;../fake-data/blob/hipster.png;image/png;Movies Division
4;Trafficway auxiliary Myanmar;91188;../fake-data/blob/hipster.png;image/png;Internal Wooden
5;Enterprise-wide Fantastic Plastic Shirt;48025;../fake-data/blob/hipster.png;image/png;Money Market Account China Credit Card Account
6;Accounts;17906;../fake-data/blob/hipster.png;image/png;Jewelery navigate
7;back up;44289;../fake-data/blob/hipster.png;image/png;Cambridgeshire
8;Facilitator deposit Practical;42003;../fake-data/blob/hipster.png;image/png;emulation
9;Borders non-volatile Buckinghamshire;59106;../fake-data/blob/hipster.png;image/png;Fresh Iraqi Dinar array
10;Saint Lucia;18100;../fake-data/blob/hipster.png;image/png;Chair
